Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly) 
 06/15  01:00:00,21.403727754798687,21.403727747092386,21.40372775698163,21.40372774927533,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  02:00:00,21.027361335657098,21.027361332066256,21.02736133667424,21.02736133308344,18.876315375953,18.876315377924705,18.876315375390973,18.876315377367334,97.58018597456947,27.880053135591275,1.4088899269208524 
 06/15  03:00:00,21.000044272035954,21.00004427042969,21.00004427249094,21.000044270884686,45.72786405495323,45.727864057575204,45.72786405421006,45.72786405683205,177.6272114520067,50.75063184343047,2.8173592966635606 
 06/15  04:00:00,21.00004727283771,21.000047272114067,21.000047273051063,21.0000472723274,51.987518433429294,51.98751843477626,51.98751843305074,51.98751843439309,192.6963641280614,55.05610403658898,2.8173228621314825 
 06/15  05:00:00,21.000018144136984,21.00001817431172,21.000018162608153,21.00001819278286,55.91256654824534,55.91256652606645,55.91256653341452,55.91256651123564,210.61076626657675,60.17450464759335,2.81727954920035 
 06/15  06:00:00,20.99994786954328,20.999948016798193,20.99994793502949,20.99994808228438,55.75009919134086,55.750099006657,55.75009910069079,55.750098916004646,219.81537647449375,62.80439327842679,2.8172572949452968 
 06/15  07:00:00,21.000028079810726,21.000028376461703,21.000028158802834,21.00002845545376,48.682386528816586,48.6823861589403,48.682386413147356,48.68238604326645,208.37458540249287,59.53559582928368,2.8172849557641007 
 06/15  08:00:00,21.00000808592689,21.000008486736725,21.000008124434423,21.000008525244198,30.161735155653087,30.161734822184993,30.16173510548237,30.16173477201197,129.22698827194804,36.92199664912801,2.116269915628266 
 06/15  09:00:00,21.004120998852848,21.004121437554183,21.004120959718595,21.004121398419883,5.858578649673108,5.858578575663016,5.858578649087862,5.858578575075451,0.0,0.0,0.003571378254922628 
 06/15  10:00:00,21.163750599821046,21.163751014170785,21.16375045788462,21.163750872234342,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  11:00:00,21.546863642624988,21.546863967318856,21.546863408056,21.546863732749873,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  12:00:00,22.04336558939658,22.0433657844668,22.043365292353556,22.043365487423777,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  13:00:00,22.573255732069537,22.573255775693873,22.57325540663917,22.5732554502635,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  14:00:00,23.097622984338344,23.097622871441263,23.09762266680064,23.09762255390357,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  15:00:00,23.560767335366428,23.560767076403053,23.56076706048238,23.560766801518984,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  16:00:00,23.893548608972274,23.893548224227295,23.893548404696467,23.89354801995149,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  17:00:00,24.056210395576738,24.056209929071265,24.0562102853944,24.05620981888893,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  18:00:00,24.06140609102458,24.06140559691069,24.061406079544597,24.0614055854307,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  19:00:00,23.915503577752588,23.915503130051533,23.915503634860354,23.915503187159295,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  20:00:00,23.620193299189793,23.62019297320284,23.620193382617096,23.62019305663014,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  21:00:00,23.244046777996232,23.244046614366226,23.24404682463596,23.24404666100595,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  22:00:00,22.81675371210963,22.816753636118968,22.816753733642948,22.816753657652292,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  23:00:00,22.354624192532214,22.354624157123517,22.35462420256261,22.35462416715391,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  24:00:00,21.88149140607011,21.881491389558068,21.881491410747444,21.881491394235393,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/15  01:00:00,21.000302423540507,21.000302423540507,21.000302423540507,21.000302423540507,444.3131092653874,444.3131092653874,444.3131092653874,444.3131092653874,1769.380371643572,505.5372490410207,8.547008547008547 
 01/15  02:00:00,21.000302423536205,21.000302423536205,21.000302423536205,21.000302423536205,444.3131092654446,444.3131092654446,444.3131092654446,444.3131092654446,1769.380371643801,505.53724904108606,8.547008547008547 
 01/15  03:00:00,21.00030242353242,21.00030242353242,21.00030242353242,21.00030242353242,444.31310926549816,444.31310926549816,444.31310926549816,444.31310926549816,1769.380371644024,505.53724904114966,8.547008547008547 
 01/15  04:00:00,21.000302423529092,21.000302423529092,21.000302423529092,21.000302423529092,444.3131092655412,444.3131092655412,444.3131092655412,444.3131092655412,1769.3803716442053,505.53724904120145,8.547008547008547 
 01/15  05:00:00,21.000302423526133,21.000302423526133,21.000302423526133,21.000302423526133,444.3131092655776,444.3131092655776,444.3131092655776,444.3131092655776,1769.3803716443476,505.53724904124215,8.547008547008547 
 01/15  06:00:00,21.00030242352355,21.00030242352355,21.00030242352355,21.00030242352355,444.3131092656155,444.3131092656155,444.3131092656155,444.3131092656155,1769.3803716445054,505.5372490412873,8.547008547008547 
 01/15  07:00:00,21.00030242352128,21.00030242352128,21.00030242352128,21.00030242352128,444.31310926564674,444.31310926564674,444.31310926564674,444.31310926564674,1769.380371644639,505.5372490413254,8.547008547008547 
 01/15  08:00:00,21.000302423519276,21.000302423519276,21.000302423519276,21.000302423519276,444.3131092656735,444.3131092656735,444.3131092656735,444.3131092656735,1769.38037164474,505.5372490413543,8.547008547008547 
 01/15  09:00:00,21.000302423517518,21.000302423517518,21.000302423517518,21.000302423517518,444.3131092656972,444.3131092656972,444.3131092656972,444.3131092656972,1769.380371644835,505.5372490413815,8.547008547008547 
 01/15  10:00:00,21.00030242351598,21.00030242351598,21.00030242351598,21.00030242351598,444.31310926572104,444.31310926572104,444.31310926572104,444.31310926572104,1769.3803716449363,505.5372490414103,8.547008547008547 
 01/15  11:00:00,21.000302423514622,21.000302423514622,21.000302423514622,21.000302423514622,444.3131092657366,444.3131092657366,444.3131092657366,444.3131092657366,1769.3803716450075,505.5372490414307,8.547008547008547 
 01/15  12:00:00,21.000302423513403,21.000302423513403,21.000302423513403,21.000302423513403,444.31310926575225,444.31310926575225,444.31310926575225,444.31310926575225,1769.3803716450639,505.53724904144684,8.547008547008547 
 01/15  13:00:00,21.000302423512355,21.000302423512355,21.000302423512355,21.000302423512355,444.3131092657678,444.3131092657678,444.3131092657678,444.3131092657678,1769.3803716451293,505.53724904146554,8.547008547008547 
 01/15  14:00:00,21.000302423511418,21.000302423511418,21.000302423511418,21.000302423511418,444.31310926577896,444.31310926577896,444.31310926577896,444.31310926577896,1769.3803716451769,505.5372490414791,8.547008547008547 
 01/15  15:00:00,21.000302423510593,21.000302423510593,21.000302423510593,21.000302423510593,444.31310926579005,444.31310926579005,444.31310926579005,444.31310926579005,1769.3803716452303,505.53724904149436,8.547008547008547 
 01/15  16:00:00,21.00030242350988,21.00030242350988,21.00030242350988,21.00030242350988,444.31310926580124,444.31310926580124,444.31310926580124,444.31310926580124,1769.3803716452599,505.5372490415029,8.547008547008547 
 01/15  17:00:00,21.00030242350925,21.00030242350925,21.00030242350925,21.00030242350925,444.3131092658109,444.3131092658109,444.3131092658109,444.3131092658109,1769.3803716453046,505.53724904151557,8.547008547008547 
 01/15  18:00:00,21.000302423508693,21.000302423508693,21.000302423508693,21.000302423508693,444.31310926581756,444.31310926581756,444.31310926581756,444.31310926581756,1769.3803716453344,505.5372490415241,8.547008547008547 
 01/15  19:00:00,21.00030242350819,21.00030242350819,21.00030242350819,21.00030242350819,444.31310926582205,444.31310926582205,444.31310926582205,444.31310926582205,1769.3803716453522,505.5372490415292,8.547008547008547 
 01/15  20:00:00,21.00030242350777,21.00030242350777,21.00030242350777,21.00030242350777,444.313109265831,444.313109265831,444.313109265831,444.313109265831,1769.3803716453906,505.5372490415402,8.547008547008547 
 01/15  21:00:00,21.000302423507385,21.000302423507385,21.000302423507385,21.000302423507385,444.31310926583546,444.31310926583546,444.31310926583546,444.31310926583546,1769.3803716454083,505.5372490415453,8.547008547008547 
 01/15  22:00:00,21.000302423507062,21.000302423507062,21.000302423507062,21.000302423507062,444.3131092658399,444.3131092658399,444.3131092658399,444.3131092658399,1769.3803716454233,505.5372490415495,8.547008547008547 
 01/15  23:00:00,21.00030242350675,21.00030242350675,21.00030242350675,21.00030242350675,444.3131092658421,444.3131092658421,444.3131092658421,444.3131092658421,1769.3803716454295,505.5372490415512,8.547008547008547 
 01/15  24:00:00,21.00030242350651,21.00030242350651,21.00030242350651,21.00030242350651,444.3131092658488,444.3131092658488,444.3131092658488,444.3131092658488,1769.3803716454681,505.53724904156235,8.547008547008547 
