Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly) 
 01/15  07:00:00,21.694764680608017,21.694764680608017,17.30526506844519,17.30526506844519,535.8719876653407,535.8719876653407,297.251165756933,297.251165756933,1568.6989581963837,448.19970234182387,108.37269956279835 
 01/15  08:00:00,21.694770865690632,21.694770865690632,17.30503577157947,17.30503577157947,535.8718964828448,535.8718964828448,297.17383574622704,297.17383574622704,1568.5547823496336,448.1585092427525,108.37269991145985 
 01/15  09:00:00,21.6947689249643,21.6947689249643,17.30512929013402,17.30512929013402,535.8718592879478,535.8718592879478,297.3328444717414,297.3328444717414,1568.8405715578376,448.24016330223935,108.37269922033701 
 01/15  10:00:00,21.694766111879048,21.694766111879048,17.304876111807765,17.304876111807765,535.8719815112461,535.8719815112461,297.1749816661833,297.1749816661833,1568.5460741377738,448.1560211822211,108.37269993252052 
 01/15  11:00:00,21.69475816521751,21.69475816521751,17.30543828517959,17.30543828517959,535.8720134620384,535.8720134620384,297.32913906057877,297.32913906057877,1568.8554207451468,448.24440592718486,108.37269918442746 
 01/15  12:00:00,21.694760887021538,21.694760887021538,17.304753076115023,17.304753076115023,535.8720422069296,535.8720422069296,297.17716904830314,297.17716904830314,1568.5507458414245,448.1573559546927,108.37269992122127 
 01/15  13:00:00,21.694751897381387,21.694751897381387,17.30558588272904,17.30558588272904,535.8721514775227,535.8721514775227,297.3267635472861,297.3267635472861,1568.8507718205035,448.243077663001,108.3726991956699 
 01/15  14:00:00,21.69475524642734,21.69475524642734,17.304668012813288,17.304668012813288,535.8721030585673,535.8721030585673,297.17815859853584,297.17815859853584,1568.5530125980476,448.15800359944217,108.37269991574136 
 01/15  15:00:00,21.694749300671802,21.694749300671802,17.305147195347068,17.305147195347068,535.8722333874091,535.8722333874091,297.1715877382655,297.1715877382655,1568.5617815015307,448.1605090004374,108.37269989453391 
 01/15  16:00:00,21.69475013056776,21.69475013056776,17.30512624478913,17.30512624478913,535.8721682981748,535.8721682981748,297.3328385662881,297.3328385662881,1568.8411832103282,448.24033806009373,108.37269921885786 
 01/15  17:00:00,21.694749814011203,21.694749814011203,17.305320526452466,17.305320526452466,535.8722538147039,535.8722538147039,297.24993768831985,297.24993768831985,1568.6968250899008,448.19909288282884,108.37269956795681 
 01/15  18:00:00,21.69475858794903,21.69475858794903,17.30523887427709,17.30523887427709,535.8720855645715,535.8720855645715,297.2521420806133,297.2521420806133,1568.7011643197825,448.20033266279495,108.3726995574633 
 01/15  19:00:00,21.694763345387273,21.694763345387273,17.304718727218987,17.304718727218987,535.8719950373015,535.8719950373015,297.1775550333782,297.1775550333782,1568.5515359194687,448.15758169127673,108.37269991931063 
 01/15  20:00:00,21.694753250347183,21.694753250347183,17.305563838105524,17.305563838105524,535.8721236213084,535.8721236213084,297.3269600732469,297.3269600732469,1568.8511138109666,448.2431753745619,108.37269919484287 
 01/15  21:00:00,21.694760198870974,21.694760198870974,17.30504991648692,17.30504991648692,535.8720701371078,535.8720701371078,297.1738108023521,297.1738108023521,1568.5550600687825,448.15858859108073,108.37269991078489 
 01/15  22:00:00,21.69476468060863,21.69476468060863,17.30526506844592,17.30526506844592,535.8719876653294,535.8719876653294,297.25116575692834,297.25116575692834,1568.6989581963837,448.19970234182387,108.37269956279835 
 01/15  23:00:00,21.694770865691165,21.694770865691165,17.30503577158011,17.30503577158011,535.8718964828354,535.8718964828354,297.17383574622016,297.17383574622016,1568.5547823496336,448.1585092427525,108.37269991145985 
 01/15  24:00:00,21.694768924964762,21.694768924964762,17.305129290134598,17.305129290134598,535.8718592879386,535.8718592879386,297.3328444717391,297.3328444717391,1568.8405715578376,448.24016330223935,108.37269922033701 
 06/15  01:00:00,21.393790428563435,21.39379042084992,21.393790089674386,21.393790081960887,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  02:00:00,20.970375362091346,20.97037535849183,20.932034777736437,20.932034774133445,12.744116924488637,12.744116925684672,0.0,0.0,167.82850143220722,47.95100040920206,27.09371743615774 
 06/15  03:00:00,21.03471791768292,21.034717916168223,20.519095346262045,20.519095344581075,59.117545658461985,59.11754566174819,0.0,0.0,93.46688613665596,26.704824610473132,27.107081994449203 
 06/15  04:00:00,21.113924097966873,21.113924097361775,20.206553099635286,20.206553098865093,70.78423660164364,70.78423660322056,0.0,0.0,79.39053791426332,22.683010832646662,27.11004920587239 
 06/15  05:00:00,21.16574499901357,21.165745038674274,19.97942016390567,19.97942019831402,80.1566221787943,80.15662213454107,0.0,0.0,90.96315315610136,25.989472330314673,27.112398843503662 
 06/15  06:00:00,21.202440179331333,21.20244036407762,19.832293763566,19.83229393311042,83.76612797011101,83.76612760993774,0.0,0.0,200.77374803974627,57.36392801135607,54.20060231135127 
 06/15  07:00:00,21.22278368806148,21.22278401328387,19.79149252585685,19.791492838974467,78.62670915340215,78.62670847172112,0.0,0.0,95.53295630197962,27.29513037199418,27.11207101350069 
 06/15  08:00:00,21.218969289494304,21.218969703272847,19.924115895943974,19.92411631401514,57.90778101097921,57.907780333998694,0.0,0.0,106.49410052944229,30.42688586555494,27.107459822772384 
 06/15  09:00:00,21.175323920713424,21.175324360809142,20.272410833632577,20.27241128193955,24.17316913714513,24.173168824894454,0.0,0.0,0.0,0.0,0.007411412481216033 
 06/15  10:00:00,21.153262038270675,21.153262456030106,20.772878308190094,20.772878725312722,0.906113558543331,0.9061135467920116,0.0,0.0,0.0,0.0,0.00027742363640542484 
 06/15  11:00:00,21.44255291690125,21.442553243429153,21.31753966027221,21.317539985894662,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  12:00:00,21.930175210219847,21.930175405758806,21.887476931272616,21.887477126678604,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  13:00:00,22.471892298812012,22.471892342555794,22.457331501143727,22.457331544868424,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  14:00:00,23.01235552484821,23.012355411952356,23.00739817848247,23.007398065584027,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  15:00:00,23.490734974237533,23.49073471523453,23.489047685857443,23.489047426854015,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  16:00:00,23.836628950839067,23.836628566009548,23.836053828621104,23.83605344379145,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  17:00:00,24.010319409503122,24.0103189428229,24.01012118201762,24.010120715337326,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  18:00:00,24.023875262737025,24.02387476853208,24.023803609043203,24.02380311483823,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  19:00:00,23.884160219128518,23.884159771373973,23.88412748451897,23.884127036764422,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  20:00:00,23.59405525944934,23.594054933427238,23.594039935677255,23.594039609655148,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  21:00:00,23.2222930008289,23.222292837175683,23.22228584703482,23.222285683381603,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  22:00:00,22.798933329118924,22.798933253095523,22.798929988846275,22.798929912822878,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  23:00:00,22.340197178239546,22.340197142799504,22.340195620609784,22.34019558516973,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  24:00:00,21.869526203546876,21.869526187019787,21.869525477145075,21.86952546061799,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/15  01:00:00,21.69475013056652,21.69475013056652,17.30512624478763,17.30512624478763,535.8721682981954,535.8721682981954,297.33283856629726,297.33283856629726,1568.8411832103282,448.24033806009373,108.37269921885786 
 01/15  02:00:00,21.694749814010102,21.694749814010102,17.305320526451172,17.305320526451172,535.8722538147222,535.8722538147222,297.2499376883336,297.2499376883336,1568.696825089975,448.19909288285004,108.37269956795681 
 01/15  03:00:00,21.69475858794804,21.69475858794804,17.30523887427593,17.30523887427593,535.8720855645853,535.8720855645853,297.25214208062243,297.25214208062243,1568.7011643198566,448.2003326628162,108.3726995574633 
 01/15  04:00:00,21.694763345386377,21.694763345386377,17.304718727217963,17.304718727217963,535.8719950373129,535.8719950373129,297.17755503338736,297.17755503338736,1568.5515359193942,448.1575816912555,108.37269991931063 
 01/15  05:00:00,21.694753250346412,21.694753250346412,17.305563838104625,17.305563838104625,535.8721236213223,535.8721236213223,297.3269600732561,297.3269600732561,1568.851113811078,448.24317537459376,108.37269919484287 
 01/15  06:00:00,21.69476019887028,21.69476019887028,17.305049916486105,17.305049916486105,535.8720701371192,535.8720701371192,297.1738108023567,297.1738108023567,1568.5550600687825,448.15858859108073,108.37269991078489 
 01/15  07:00:00,21.694764680608017,21.694764680608017,17.30526506844519,17.30526506844519,535.8719876653407,535.8719876653407,297.251165756933,297.251165756933,1568.6989581963837,448.19970234182387,108.37269956279835 
 01/15  08:00:00,21.694770865690632,21.694770865690632,17.30503577157947,17.30503577157947,535.8718964828448,535.8718964828448,297.17383574622704,297.17383574622704,1568.5547823496336,448.1585092427525,108.37269991145985 
 01/15  09:00:00,21.6947689249643,21.6947689249643,17.30512929013402,17.30512929013402,535.8718592879478,535.8718592879478,297.3328444717414,297.3328444717414,1568.8405715578376,448.24016330223935,108.37269922033701 
 01/15  10:00:00,21.694766111879048,21.694766111879048,17.304876111807765,17.304876111807765,535.8719815112461,535.8719815112461,297.1749816661833,297.1749816661833,1568.5460741377738,448.1560211822211,108.37269993252052 
 01/15  11:00:00,21.69475816521751,21.69475816521751,17.30543828517959,17.30543828517959,535.8720134620384,535.8720134620384,297.32913906057877,297.32913906057877,1568.8554207451468,448.24440592718486,108.37269918442746 
 01/15  12:00:00,21.694760887021538,21.694760887021538,17.304753076115023,17.304753076115023,535.8720422069296,535.8720422069296,297.17716904830314,297.17716904830314,1568.5507458414245,448.1573559546927,108.37269992122127 
 01/15  13:00:00,21.694751897381387,21.694751897381387,17.30558588272904,17.30558588272904,535.8721514775227,535.8721514775227,297.3267635472861,297.3267635472861,1568.8507718205035,448.243077663001,108.3726991956699 
 01/15  14:00:00,21.69475524642734,21.69475524642734,17.304668012813288,17.304668012813288,535.8721030585673,535.8721030585673,297.17815859853584,297.17815859853584,1568.5530125980476,448.15800359944217,108.37269991574136 
 01/15  15:00:00,21.694749300671802,21.694749300671802,17.305147195347068,17.305147195347068,535.8722333874091,535.8722333874091,297.1715877382655,297.1715877382655,1568.5617815015307,448.1605090004374,108.37269989453391 
 01/15  16:00:00,21.69475013056776,21.69475013056776,17.30512624478913,17.30512624478913,535.8721682981748,535.8721682981748,297.3328385662881,297.3328385662881,1568.8411832103282,448.24033806009373,108.37269921885786 
 01/15  17:00:00,21.694749814011203,21.694749814011203,17.305320526452466,17.305320526452466,535.8722538147039,535.8722538147039,297.24993768831985,297.24993768831985,1568.6968250899008,448.19909288282884,108.37269956795681 
 01/15  18:00:00,21.69475858794903,21.69475858794903,17.30523887427709,17.30523887427709,535.8720855645715,535.8720855645715,297.2521420806133,297.2521420806133,1568.7011643197825,448.20033266279495,108.3726995574633 
 01/15  19:00:00,21.694763345387273,21.694763345387273,17.304718727218987,17.304718727218987,535.8719950373015,535.8719950373015,297.1775550333782,297.1775550333782,1568.5515359194687,448.15758169127673,108.37269991931063 
 01/15  20:00:00,21.694753250347183,21.694753250347183,17.305563838105524,17.305563838105524,535.8721236213084,535.8721236213084,297.3269600732469,297.3269600732469,1568.8511138109666,448.2431753745619,108.37269919484287 
 01/15  21:00:00,21.694760198870974,21.694760198870974,17.30504991648692,17.30504991648692,535.8720701371078,535.8720701371078,297.1738108023521,297.1738108023521,1568.5550600687825,448.15858859108073,108.37269991078489 
 01/15  22:00:00,21.69476468060863,21.69476468060863,17.30526506844592,17.30526506844592,535.8719876653294,535.8719876653294,297.25116575692834,297.25116575692834,1568.6989581963837,448.19970234182387,108.37269956279835 
 01/15  23:00:00,21.694770865691165,21.694770865691165,17.30503577158011,17.30503577158011,535.8718964828354,535.8718964828354,297.17383574622016,297.17383574622016,1568.5547823496336,448.1585092427525,108.37269991145985 
 01/15  24:00:00,21.694768924964762,21.694768924964762,17.305129290134598,17.305129290134598,535.8718592879386,535.8718592879386,297.3328444717391,297.3328444717391,1568.8405715578376,448.24016330223935,108.37269922033701 
